IncidentType,Resolution
CALLER REPORTED A TRUCK SLID OFF THE ROAD AND PUNCTURED A SADDLE TANK CAUSING A RELEASE OF MATERIALS.,MOBILE
DIESEL FUEL DISCHARGED FROM THE FUEL TANKS ON A SEMI-TRUCK THAT OVERTURNED INTO A RIVER AS THE RESULT OF A SINGLE VEHICLE ACCIDENT.,MOBILE
NATURAL GAS RELEASED FROM A 4 INCH UNDERGROUND LINE THAT WAS ACCIDENTALLY CONTACTED BY A DIGGING TOOL.,PIPELINE
CALLER STATES THERE IS AN UNKNOWN STRONG CHEMICAL ODOR COMING FROM AN UNKNOWN SOURCE IN THE VICINITY OF THE LOCATION DESCRIPTION AND IT IS CAUSING SICKNESS TO PEOPLE IN THE AREA.  CALLER ALSO STATES THIS HAS BEEN ONGOING FOR THE LAST 24 HOURS.,FIXED
CALLER STATED THAT THEY HAD A TANK WITHIN THE REFRIGERATION UNIT LEAK AN UNKNOWN AMOUNT OF ANHYDROUS AMMONIA TO THE ATMOSPHERE.,FIXED
CALLER STATED THE SYSTEM SHUT DOWN DUE TO FREEZING CONDITIONS WHICH CAUSED A UNIT IN THE THERMOSIPHON TO RELEASE ANHYDROUS AMMONIA TO THE AIR.,FIXED
CALLER STATED A DUNKIN DONUT DELIVERY VEHICLE (18 WHEELER) HIT A FIRE HYDRANT AND RUPTURED ITS SADDLE TANK. CALLER STATED APPROXIMATELY 40-45 GALLONS OF DIESEL FUEL RELEASED ONTO THE GROUND AND INTO A STORM DRAIN.,MOBILE
CALLER STATED USED MOTOR OIL RELEASED FROM A COMPRESSOR SUMP INTO AN ACCESS CANAL OFF OF THE ICW. THIS WAS DUE TO HEAVY RAIN FALL THAT OVER FLOWED THE SUMP.,PLATFORM
CALLER STATED THAT THEY DISCOVERED THAT A RUPTURE PIN WENT INTO ALARM AT 2305 WHICH ALLOWED NON CONDENSABLE GASES TO VENT UNTIL 0638.  THE GAS HAS A NUMBER OF COMPONENT GASES.  THEY BELIEVE THEY MAY HAVE REACHED THE RQ OF H2S AND ACROLEIN.,FIXED
CALLER STATED THAT A HOSE WAS BEING USED TO DRAIN A B.O.P. STACK.  A CREW MEMBER BROKE A VALVE WHICH CAUSED THE HOSE TO DRAIN 4 GALLONS AN OIL BASED DRILLING MUD INTO THE GULF OF MEXICO.,PLATFORM
"CALLER IS REPORTING THAT A COMPANY HAS SEVERAL OPEN VATS AT THEIR FACILITY AND SOME OF THEM ARE LEAKING MATERIAL ONTO THE GROUND. CALLER STATED EMPLOYEES ARE NOT PROPERLY COVERED WHEN WORKING WITH THIS MATERIAL. CALLER STATED THIS MATERIAL CAN CAUSE HEALTH PROBLEMS.

CALLER ALSO STATES THEIR IS ANOTHER FACILITY THAT THE COMPANY OWNS THAT HAS TRAILERS LOADED WITH SAW DUST CONTAINING CHEMICALS THAT ARE BEING DUMPED INTO A CREEK.",STORAGE TANK
"CALLER STATED THAT  A VESSEL OVERTURNED AND SANK WHILE DUCK HUNTING.  CALLER STATED THERE IS 3 GALLONS OF GASOLINE ON BOARD THE VESSEL, HOWEVER THERE ARE NO SIGNS OF A SHEEN AT THIS TIME.",VESSEL
CALLER STATED THAT AN OUT OF SERVICE LINE LEAKED 0.125 GALLONS OF CRUDE OIL INTO THE GULF OF MEXICO.,PLATFORM
CALLER STATED THAT THEY HAD A 30 GALLON HYDRAULIC FLUID RELEASE TO A STORM DRAIN FROM A TRASH TRUCK.,MOBILE
CALLER STATED THAT A RELIEF VALVE RELEASED 16.7MCF OF NATURAL GAS TO THE ATMOSPHERE.,PIPELINE
"CALLER STATED THAT A SILVER PICKUP TRUCK WITH A HAUL TRAILER WAS SEEN DUMPING BARRELS, JUGS AND BAGS OF UNKNOWN MATERIAL ON THE SIDE OF AN ABANDON PRIVATE RESIDENCE. CALLER STATED THIS IS LOCATED IN A WETLAND AREA NEAR A STREAM. CALLER IS CONCERNED BECAUSE THE AREA IS ON WELL WATER.",MOBILE
CALLER STATED THAT THE FOSTORIA MUNICIPAL WATER TREATMENT PLANT AS BEEN DISCHARGING A LIME SLUDGE INTO THE PORTAGE RIVER SINCE THE BEGINNING OF THE SUMMER.,FIXED
"CALLER STATED COMPANY WAS HIRED TO CLEAN UP A SPILL FROM A HEATING OIL TANK IN THE BASEMENT OF A PRIVATE RESIDENCE. CALLER STATED THE SPILL ON THE BASEMENT FLOOR WAS CLEANED UP, BUT THE STAINED WALLS WERE JUST COVERED WITH PAINT.

CALLER ALSO STATED THAT A BACK HOE THAT WAS BEING USED THAT SAME DAY HAD A HYDRAULIC HOSE THAT LEAKED OIL INTO THE GROUND THAT IS LOCATED IN A WETLAND AREA.

THIS OCCURRED IN THE BEGINNING OF NOVEMBER (11/2016) AND LASTED FOR SEVERAL WEEKS.

",STORAGE TANK
THE RP IS REPORTING A DISCHARGE OF GASOLINE DUE TO UNKNOWN CAUSES.  RP STATED THAT THE PRODUCT HAS SPILLED FROM A COMMERCIAL VEHICLE INTO THE PARKING LOT AND INTO A STORM DRAIN.,MOBILE
CALLER IS REPORTING A SPILL OF 100 GALLONS OF GASOLINE  FROM A STORAGE TANK DUE TO AN OVERFLOW. AN UNKNOWN AMOUNT OF GASOLINE ENTERED A STORM DRAIN.,STORAGE TANK
